host_lat,host_long,team1_seed,team1_lat,team1_long,team1_fg2pct,team1_fg3pct,team1_ftpct,team1_blockpct,team1_oppfg2pct,team1_oppfg3pct,team1_oppftpct,team1_oppblockpct,team1_fg3rate,team1_oppfg3rate,team1_arate,team1_opparate,team1_stlrate,team1_oppstlrate,team1_tempo,team1_adjtempo,team1_oe,team1_adjoe,team1_de,team1_adjde,team1_rpi_rating,team1_pt_school_ncaa,team1_pt_overall_ncaa,team1_pt_school_s16,team1_pt_overall_s16,team1_pt_school_ff,team1_pt_overall_ff,team1_pt_career_school_wins,team1_pt_career_school_losses,team1_pt_career_overall_losses,team1_pt_team_season_wins,team1_pt_team_season_losses,team1_pt_coach_season_wins,team1_pt_coach_season_losses,team2_seed,team2_lat,team2_long,team2_fg2pct,team2_fg3pct,team2_ftpct,team2_blockpct,team2_oppfg2pct,team2_oppfg3pct,team2_oppftpct,team2_oppblockpct,team2_fg3rate,team2_oppfg3rate,team2_arate,team2_opparate,team2_stlrate,team2_oppstlrate,team2_tempo,team2_adjtempo,team2_oe,team2_adjoe,team2_de,team2_adjde,team2_rpi_rating,team2_pt_school_ncaa,team2_pt_overall_ncaa,team2_pt_school_s16,team2_pt_overall_s16,team2_pt_school_ff,team2_pt_overall_ff,team2_pt_career_school_wins,team2_pt_career_school_losses,team2_pt_career_overall_losses,team2_pt_team_season_wins,team2_pt_team_season_losses,team2_pt_coach_season_wins,team2_pt_coach_season_losses,id
34.8526,-82.394,1,5.186788,7.048543,59.68841285,37.03703704,79.35285054,9.178321678,48.86363636,31.25,71.22302158,6.134371957,44.09363092,40.16736402,53.23110624,57.82227785,0.109910977,0.078188703,65.8287,63.8563,117.917,122.788,95.7139,91.9865,0.665,11,13,5,5,2,2,507,159,244,31,2,31,2,2,1.14899,3.45174,53.79746835,37.59791123,75.82278481,10.44577512,48.76912841,29.46127946,70.01545595,6.803797468,37.73399015,28.32618026,47.31404959,46.47577093,0.084808694,0.068010837,69.7368,67.7993,115.574,121.074,100.308,95.9922,0.646,32,32,23,23,12,12,1070,269,328,27,7,27,7,2017-1437-1181
34.8526,-82.394,1,5.186788,7.048543,59.68841285,37.03703704,79.35285054,9.178321678,48.86363636,31.25,71.22302158,6.134371957,44.09363092,40.16736402,53.23110624,57.82227785,0.109910977,0.078188703,65.8287,63.8563,117.917,122.788,95.7139,91.9865,0.665,11,13,5,5,2,2,507,159,244,31,2,31,2,3,-3.306644,-14.725359,52.47349823,35.34482759,71.16040956,13.24561404,44.21052632,31.43812709,72.34848485,9.80565371,33.87850467,34.40736479,60.20025031,58.23699422,0.07920003,0.08218871,64.7605,62.9174,110.859,117.351,97.5262,92.3224,0.639,6,6,3,3,0,0,297,178,189,25,6,25,6,2017-1437-1124
34.8526,-82.394,1,5.186788,7.048543,59.68841285,37.03703704,79.35285054,9.178321678,48.86363636,31.25,71.22302158,6.134371957,44.09363092,40.16736402,53.23110624,57.82227785,0.109910977,0.078188703,65.8287,63.8563,117.917,122.788,95.7139,91.9865,0.665,11,13,5,5,2,2,507,159,244,31,2,31,2,4,-5.214352,0.032805,49.91721854,36.25730994,72.64397906,12.25296443,45.45454545,30.70325901,70.6539075,7.781456954,36.15221987,31.54761905,47.47356052,40.58355438,0.10642684,0.076521777,70.5465,68.6621,109.945,115.869,93.6834,89.4916,0.64,0,0,0,0,0,0,146,22,62,24,7,24,7,2017-1437-1196
34.8526,-82.394,1,5.186788,7.048543,59.68841285,37.03703704,79.35285054,9.178321678,48.86363636,31.25,71.22302158,6.134371957,44.09363092,40.16736402,53.23110624,57.82227785,0.109910977,0.078188703,65.8287,63.8563,117.917,122.788,95.7139,91.9865,0.665,11,13,5,5,2,2,507,159,244,31,2,31,2,5,3.183945,3.891403,49.95640802,39.29824561,70.81447964,13.96348013,45.00537057,31.20915033,70.41984733,7.672188317,33.19743739,39.66299417,57.21455458,50.49180328,0.092657768,0.080883576,60.098,58.7169,109.116,113.722,91.0938,87.0423,0.617,4,6,2,3,0,0,256,81,114,22,9,22,9,2017-1437-1438
34.8526,-82.394,1,5.186788,7.048543,59.68841285,37.03703704,79.35285054,9.178321678,48.86363636,31.25,71.22302158,6.134371957,44.09363092,40.16736402,53.23110624,57.82227785,0.109910977,0.078188703,65.8287,63.8563,117.917,122.788,95.7139,91.9865,0.665,11,13,5,5,2,2,507,159,244,31,2,31,2,6,-2.007346,-14.390855,51.28865979,40.27149321,69.53937593,11.20080727,43.59233098,32.68765133,68.77828054,8.676975945,36.28899836,45.45954871,62.73148148,56.41025641,0.091433986,0.075326444,63.964,63.3635,116.581,119.678,93.8307,95.2905,0.624,0,0,0,0,0,0,195,3,124,29,3,29,3,2017-1437-1374
34.8526,-82.394,1,5.186788,7.048543,59.68841285,37.03703704,79.35285054,9.178321678,48.86363636,31.25,71.22302158,6.134371957,44.09363092,40.16736402,53.23110624,57.82227785,0.109910977,0.078188703,65.8287,63.8563,117.917,122.788,95.7139,91.9865,0.665,11,13,5,5,2,2,507,159,244,31,2,31,2,7,-0.846447,1.356261,44.9752883,33.38735818,69.22024624,10.62441752,45.29356943,29.58257713,71.14624506,9.225700165,33.6974331,33.92857143,51.19680851,44.83821263,0.111547436,0.086506175,69.4781,68.0273,101.288,105.558,91.2976,88.5558,0.587,0,4,0,1,0,0,209,72,126,22,9,22,9,2017-1437-1376
42.875,-78.8764,1,-2.835612,3.530943,59.68841285,37.03703704,79.35285054,9.178321678,48.86363636,31.25,71.22302158,6.134371957,44.09363092,40.16736402,53.23110624,57.82227785,0.109910977,0.078188703,65.8287,63.8563,117.917,122.788,95.7139,91.9865,0.665,11,13,5,5,2,2,507,159,244,31,2,31,2,8,0.198858,-10.528956,51.1589404,35.4519774,64.26282051,9.882747069,42.04355109,37.52122241,73.68421053,8.526490066,36.9519833,33.034212,51.78365938,45.64315353,0.10599337,0.0809993,64.7386,63.0938,110.698,114.114,93.3348,90.8938,0.597,1,1,1,1,0,0,40,15,15,25,7,25,7,2017-1437-1458
42.875,-78.8764,1,-2.835612,3.530943,59.68841285,37.03703704,79.35285054,9.178321678,48.86363636,31.25,71.22302158,6.134371957,44.09363092,40.16736402,53.23110624,57.82227785,0.109910977,0.078188703,65.8287,63.8563,117.917,122.788,95.7139,91.9865,0.665,11,13,5,5,2,2,507,159,244,31,2,31,2,9,-5.637523,-1.558449,54.7596607,40.25604552,73.42657343,6.996855346,49.13522013,36.01147776,71.45557656,11.87558907,39.85260771,35.39867953,55.90277778,49.20091324,0.056789192,0.078085139,69.9367,68.1755,112.502,117.427,106.185,102.513,0.582,0,5,0,3,0,0,206,46,132,22,9,22,9,2017-1437-1439
34.8526,-82.394,1,5.186788,7.048543,59.68841285,37.03703704,79.35285054,9.178321678,48.86363636,31.25,71.22302158,6.134371957,44.09363092,40.16736402,53.23110624,57.82227785,0.109910977,0.078188703,65.8287,63.8563,117.917,122.788,95.7139,91.9865,0.665,11,13,5,5,2,2,507,159,244,31,2,31,2,10,8.186165,-5.534122,52.68518519,43.04635762,77.93345009,9.427609428,50.16835017,36.91056911,69.75308642,10.46296296,41.14441417,34.10981697,57.38255034,60.02430134,0.103120177,0.090004014,71.0408,69.7841,115.653,120.999,105.356,103.405,0.566,0,0,0,0,0,0,52,43,43,19,11,19,11,2017-1437-1266
34.8526,-82.394,1,5.186788,7.048543,59.68841285,37.03703704,79.35285054,9.178321678,48.86363636,31.25,71.22302158,6.134371957,44.09363092,40.16736402,53.23110624,57.82227785,0.109910977,0.078188703,65.8287,63.8563,117.917,122.788,95.7139,91.9865,0.665,11,13,5,5,2,2,507,159,244,31,2,31,2,11,6.991464,10.95608,49.0616622,36.8,69.06906907,8.198121264,50.04269855,32.67973856,67.28971963,8.221626452,35.83715596,34.32417274,58.27984596,48.34605598,0.098771671,0.09279943,67.7701,66.174,103.256,108.125,98.2869,95.2071,0.57,3,3,0,0,0,0,214,78,147,19,11,19,11,2017-1437-1344
